state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
Kerala,Thiruvananthapuram,Neyyatinkara,Pumpkin,Other,FAQ,2025-07-26,3500,4000,3700
Uttrakhand,UdhamSinghNagar,Kicchha,Bitter gourd,Bitter Gourd,FAQ,2025-07-26,1000,1200,1100
Kerala,Kozhikode(Calicut),Mukkom,Ginger(Green),Green Ginger,FAQ,2025-07-26,6000,6400,6200
Kerala,Kozhikode(Calicut),Palayam,Green Chilli,Other,FAQ,2025-07-26,5800,5800,5800
Kerala,Ernakulam,Thrippunithura,Green Chilli,Green Chilly,FAQ,2025-07-26,9000,12000,10000
Kerala,Thiruvananthapuram,Parassala,Bhindi(Ladies Finger),Other,FAQ,2025-07-26,7000,7500,7000
Kerala,Kasargod,Kasargod,Bhindi(Ladies Finger),Other,FAQ,2025-07-26,7000,7200,7100
Kerala,Kozhikode(Calicut),Kallachi,Onion,Other,FAQ,2025-07-26,2000,2400,2200
Kerala,Kottayam,Pampady,Mango (Raw-Ripe),Other,FAQ,2025-07-26,3500,5000,4500
Kerala,Thirssur,Thrissur,Pineapple,Pine Apple,Medium,2025-07-26,3800,3800,3800
Kerala,Kozhikode(Calicut),Perambra,Capsicum,Capsicum,FAQ,2025-07-26,8000,8500,8000
Kerala,Ernakulam,Thrippunithura,Onion,Big,FAQ,2025-07-26,2800,3000,2800
Kerala,Kozhikode(Calicut),Perambra,Tomato,Tomato,FAQ,2025-07-26,3800,4000,4000
Haryana,Gurgaon,Gurgaon,Banana,Other,Large,2025-07-26,2000,4000,3000
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Tomato,Other,FAQ,2025-07-26,4000,6000,5000
Kerala,Alappuzha,Harippad,Cucumbar(Kheera),Other,FAQ,2025-07-26,3000,3400,3000
Haryana,Gurgaon,Gurgaon,Tomato,Other,FAQ,2025-07-26,1000,2000,1500
Kerala,Thiruvananthapuram,Neyyatinkara,Brinjal,Brinjal,FAQ,2025-07-26,5400,6000,5600
Uttrakhand,Haridwar,Manglaur,Potato,Other,FAQ,2025-07-26,1000,1300,1200
Kerala,Thiruvananthapuram,Parassala,Beetroot,Beetroot,FAQ,2025-07-26,4000,4500,4000
Kerala,Kozhikode(Calicut),Kallachi,Ginger(Green),Green Ginger,FAQ,2025-07-26,6800,7200,7000
Kerala,Kozhikode(Calicut),Perambra,Potato,Other,FAQ,2025-07-26,2600,2800,2700
Kerala,Kozhikode(Calicut),Palayam,Bottle gourd,Other,FAQ,2025-07-26,3000,3000,3000
Kerala,Thiruvananthapuram,Neyyatinkara,Duster Beans,Other,FAQ,2025-07-26,5500,6000,5700
Uttrakhand,Haridwar,Roorkee,Cucumbar(Kheera),Other,FAQ,2025-07-26,500,700,600
Haryana,Jind,Narwana,Bottle gourd,Bottle Gourd,FAQ,2025-07-26,600,800,700
Gujarat,Surat,Songadh,Guar,Gwar,FAQ,2025-07-26,4500,5000,4690
Kerala,Kozhikode(Calicut),Perambra,Ashgourd,Other,FAQ,2025-07-26,2300,2600,2500
Uttrakhand,UdhamSinghNagar,Kicchha,Brinjal,Brinjal,FAQ,2025-07-26,500,600,550
Gujarat,Mehsana,Kadi,Bajra(Pearl Millet/Cumbu),Deshi,Non-FAQ,2025-07-26,2000,2450,2350
Kerala,Thiruvananthapuram,Neyyatinkara,Cucumbar(Kheera),Cucumbar,FAQ,2025-07-26,3500,4000,3700
Kerala,Thiruvananthapuram,Neyyatinkara,Amphophalus,Amphophalus,FAQ,2025-07-26,3500,4000,3700
Kerala,Thiruvananthapuram,Parassala,Elephant Yam (Suran),Elephant Yam (Suran),FAQ,2025-07-26,4000,4500,4000
